TIC,RAJ2000,DEJ2000,Period,ecc,base_flux,T0,tdur_pri,tdur_sec,phi_sec,sector1,sector2,nsector,npri,nsec,subtype,oce,meb,etv,oeb,sgl,Gaia3,Gmag,BP-RP,TOI,TOI_Disp,comments
389042478,177.80621,-53.53513,4.069837,0.0,234.80418,4075.3670031,0.0621681,0.0640984,0.5,100,100,1,5,6,detached,,,,,,5344556289822102912,15.474,2.7288,,,?
389471462,312.70002,-38.08542,1.1497832,0.035,583.72607,2036.5849346,0.0452678,0.0574718,0.5,27,27,1,21,20,detached,,,,,,6777961492675292288,14.83,2.7977,,,good
389803517,190.55041,37.12178,0.9693289,0.069,207.4185,2641.4353215,0.0353848,0.0484518,0.5,49,49,1,20,19,detached,,,,,,1520281194284701184,16.109,3.3985,,,good ztfv
390950556,318.25574,72.46331,0.2912131,0.0,671.02966,1983.9187532,0.1646107,0.1646107,0.5,25,25,1,84,83,contact,,,,,,2273524449760482560,14.456,2.287,,,good ztfv
391550834,138.88931,-51.90055,3.6017619,0.0,81498.445,1574.1181667,0.1984505,0.1717356,0.3873,10,90,7,46,46,detached,,,,,,5311918180495171712,9.294,2.2754,,,?
391993423,245.41634,-28.05188,1.2511191,0.239,213.42325,3775.4596945,0.1251119,0.1251119,0.5,91,91,1,14,13,detached,,,,,,6039044255241799808,16.199,3.7757,,,good
392796674,157.24079,9.52501,0.2350358,0.0,321.39746,3262.3581624,0.132856,0.132856,0.5,72,72,1,88,88,contact,,,,,,3876099549601111040,15.22,1.9312,,,css ztfv flat
392803255,290.09669,33.6915,1.2195603,0.015,1611.0286,2421.0437199,0.0861969,0.0861969,0.5,41,41,1,20,21,detached,,,,,,2049202912103770240,13.548,2.4531,,,good ztfv
393963814,352.52182,-38.96985,1.3521869,0.04,539.79016,3930.3293774,0.0955996,0.0955996,0.5,96,96,1,16,17,detached,,,,,,6538398353024629888,14.889,2.388,,,? dup
395035994,287.21593,15.17218,39.0411023,0.004,12255.334,2394.2094605,3.9041102,3.9041102,0.5,40,81,4,3,2,detached,,,,,,4512669674943110272,11.133,1.864,,,ztfv
395476436,287.43829,13.04725,0.75342,0.349,405.46185,2770.1370816,0.1065336,0.1065336,0.5,54,54,1,33,33,detached,,,,,,4314051489325042688,14.671,2.642,,,?
397276345,174.98896,-43.00804,1.1152043,0.516,744.28833,3747.7384407,0.3152845,0.4458123,0.5,90,90,1,23,21,detached,,,,,,5379432420688985216,14.998,3.0115,,,
398221405,139.89104,-29.43577,2.1089885,0.081,285.84247,1518.8893009,0.0745302,0.1054176,0.5,8,62,2,18,19,detached,,,,,,5634845707642893440,15.564,2.5244,,,?
399057180,187.89919,7.65472,1.5427095,0.034,426.56769,2553.68811,0.1090696,0.1090366,0.5,46,46,1,16,14,detached,,,,,,3902457111062055552,15.068,2.5823,,,good ztfv
399421408,163.93811,-68.22654,2.045552,0.066,317.13837,1571.4186914,0.1446205,0.1446205,0.5,10,65,4,43,44,detached,,,,,,5237995058832774784,15.214,3.1097,,,?
399702725,20.70716,0.71005,0.5202958,0.0,2962.4873,3936.3034531,0.2941016,0.2941016,0.5,97,97,1,82,79,contact,,,,,,2534358706998049920,12.848,2.0958,,,? WB
399781021,73.78064,10.48348,3.8593689,0.0,530.46985,3994.68166,0.0882427,0.0864752,0.4999,98,98,1,11,10,detached,,,,,,3294544278891078272,14.935,2.7805,,,good
399948127,51.89903,9.91207,3.1015612,0.027,2432.4199,2144.7825524,0.0774922,0.0774922,0.5,31,44,3,21,19,detached,,,,,,12828418773816832,13.416,2.8283,,,good
400038531,257.57915,-14.74926,,,,,,,,,,,,,,,,,,1,4139489552908817920,10.913,2.2838,,,?
404153857,195.31126,-49.42078,0.3348863,0.0,940.92151,4074.200783,0.0515055,0.0512003,0.4989,100,100,1,71,71,detached,,,,,,6084789677025163264,14.368,3.0088,,,?
404156386,294.28661,-51.56691,2.3444507,0.0,14032.877,1658.1740639,0.1171871,0.1171871,0.5,13,67,2,19,19,detached,,,,,,6645604928622813568,11.049,1.9894,,,gaia3
405491179,56.77332,27.30541,5.5297704,0.34,67.42622,3236.8689641,0.552977,0.552977,0.5,70,71,2,6,8,detached,,,,,,70736088438281856,17.055,2.5961,,,good
405567345,191.78709,-59.76913,3.2124461,0.0,289.00876,4046.4884605,0.4937945,0.6024076,0.5026,99,99,1,6,5,detached,,,,,,6056717736475418368,15.67,3.3684,,,?
405994193,270.67351,-25.30951,1.2051722,0.0,55.39201,3775.7989358,0.6812337,0.6812337,0.5,91,92,2,31,32,contact,,,,,,4064404694147727232,16.24,1.8156,,,gaia3
406276109,325.6468,-64.21582,7.547288,0.055,446.40152,1326.9614662,0.0942557,0.0942557,0.487,1,67,2,6,7,detached,,,,,,6402345437040129664,15.137,2.9552,,,good
406539396,354.732,21.02267,0.6550434,0.08,3379.3291,2825.7430489,0.0327423,0.0327423,0.5,56,56,1,33,35,detached,,,,,,2826254717479033344,12.907,2.7896,,,?
407974697,271.43831,-25.01002,1.448976,0.154,30.41524,3776.2856695,0.2896202,0.2959639,0.4978,91,92,2,27,28,detached,,,,,,4065737744592748288,16.7,2.085,,,gaia3
408195428,55.9813,32.15894,5.1240744,0.223,1199.1666,2519.0074161,0.156093,0.145149,0.5113,42,44,3,13,12,detached,,,,,,216680692063125504,13.887,2.0358,,,good
408474216,310.99932,26.44839,1.9317473,0.035,1160.0095,1683.9072363,0.0585988,0.0590543,0.5,14,82,4,49,49,detached,1,,,,,1856087094979323264,13.986,2.5106,,,ztfv
408552008,195.16774,-20.17882,0.5234382,0.028,1384.8584,1571.9552359,0.0370071,0.0370071,0.5,10,64,2,85,82,detached,,,,,,3508944991857585664,13.953,3.1327,,,good ztfv
408651394,70.09578,31.44616,2.0481346,0.02,3192.8394,1817.4781269,0.0726031,0.0722741,0.5,19,71,6,66,65,detached,1,,,,,159647993138153856,12.885,2.6877,,,ztfv
409900613,144.89253,-17.59858,2.2066057,0.0,857.13184,1518.2688166,0.0551152,0.0551318,0.5111,8,8,1,8,8,detached,,,,,,5684726942420619264,14.495,2.9705,,,good disappear ztfv
411684478,189.37665,-56.61619,0.3241568,0.0,166.12645,4074.197244,0.1620784,0.1620784,0.5,100,100,1,75,74,contact,,,,,,6073160795396904576,16.162,3.3702,,,?
411925682,79.29355,13.312,5.4699781,0.051,747.42419,2475.7737119,0.1512089,0.1475878,0.5206,43,44,2,8,9,detached,1,,,,,3388623097968210560,14.347,2.2968,,,good ztfv
412904424,222.74277,-59.85734,4.0294096,0.093,12185.699,2336.8661064,0.5697585,0.5697585,0.5,38,38,1,6,6,detached,,,,,,5878214222686129408,11.919,2.2835,,,?
415469752,337.43147,57.34533,42.6254567,0.391,1643.8259,1752.3942897,0.3763613,0.1881238,0.733,16,83,6,2,4,detached,,,1,,,2007620000826008320,13.223,2.2314,,,good
415691639,109.01339,31.69433,0.4002796,0.07,117.01929,2526.6008506,0.040028,0.040028,0.5,45,45,1,53,54,detached,,,,,,887041622868004736,16.679,3.4465,,,good ztfv
